,Test Number,TX,TX,TX,TX,TX,iSBL-SF Kalman Filter,iSBL-SF Kalman Filter,iSBL-SF Kalman Filter,iSBL-SF Kalman Filter,iSBL Kalman Filter,iSBL Kalman Filter,iSBL Kalman Filter,iSBL Kalman Filter,iSBL Raw Position Estimates,iSBL Raw Position Estimates,iSBL Raw Position Estimates,iSBL Raw Position Estimates
,,X-pos,Y-pos,Z-pos,Distance,Yaw Angle,iSBL-SF KF Y-diff Mean,iSBL-SF KF Y-diff StDev,iSBL-SF KF Z-diff Mean,iSBL-SF KF Z-diff StDev,iSBL KF Y-diff Mean,iSBL KF Y-diff StDev,iSBL KF Z-diff Mean,iSBL KF Z-diff StDev,iSBL Raw Y-diff Mean,iSBL Raw Y-diff StDev,iSBL Raw Z-diff Mean,iSBL Raw Z-diff StDev
0,,1426,0,-694,1585.9104640552694,0.0,8.181804281345567,34.94190685327196,3.0041896024464823,4.856331080186069,8.29149847094801,34.835709391727924,2.99743119266055,4.809236793800397,7.731253822629967,34.84998606021741,2.9755963302752284,5.1334233258074145
1,,2645,0,-682,2731.5103880454126,0.0,-23.77461059190031,47.0010632303787,10.535950155763235,26.770236712250313,-23.658894080996884,46.69487478321292,10.57409657320872,26.134569422278034,-24.484049844236765,47.788834555880875,10.203520249221183,31.02814410918226
2,,3880,0,-652,3934.400081333875,0.0,34.43842448979592,66.14725421027379,38.1746693877551,79.03781158196503,34.507485714285714,65.34673374381072,38.14635102040816,77.21914823324991,34.04629387755102,68.35869253460137,38.35718367346939,79.95388612568445
3,,1426,-152,-694,1593.1779561618343,-6.084290535763608,-13.27741573033708,34.39214355438419,1.9432584269662885,4.740172394172384,-13.188876404494382,34.24315780711092,1.9551123595505586,4.692559223497022,-13.809831460674156,34.39213713337407,1.7471067415730313,5.227724471116435
4,,1426,-305,-694,1614.9727551881488,-12.072803620731941,-9.945901875901876,40.23576018463418,-1.5409668109668122,7.382631820741849,-9.905670995670995,40.083194972589936,-1.5486435786435804,7.281640904632497,-10.612308802308803,40.78096734629691,-1.7809235209235226,8.630419907296385
5,,2051,305,-707,2190.7704124348584,8.458351762390658,-20.425763016157987,43.90569172135786,4.0105924596050295,14.243186011700224,-20.366175942549372,43.76044750875533,4.0320287253141815,13.968043189158024,-20.786032315978456,44.16593627837471,3.778833034111311,16.3414268170062
6,,2051,610,-702,2252.0002220248557,16.563314483904225,-7.504065510597304,71.6040750570932,21.99292870905588,16.111106495261623,-7.438901734104046,71.36607442849376,22.00651252408478,15.744148693657383,-8.009749518304432,72.18831306449252,21.884161849710985,19.27055320506643
7,,2203,762,-726,2441.5013823465265,19.080091777880117,-3.3421531100478483,79.06160288576567,0.059425837320571794,17.493555659799135,-2.82055023923445,78.54510311217994,-0.027703349282300012,16.996399435423307,-3.1783253588516733,77.5574455846544,-0.5233014354066997,19.970600463692335
8,,2645,457,-708,2775.9931556111587,9.80271696672528,18.78841503267974,79.66625150604129,56.15799019607844,25.74467260164551,18.872246732026145,79.40005179223158,56.189689542483656,25.134475611850373,18.339656862745098,79.54558482864985,55.93571895424837,28.687364671634903
9,,1426,0,-694,1585.9104640552694,0.0,7.3336235955056175,25.9740624743246,3.5091292134831447,5.261453272040502,7.592191011235954,25.6126057167943,3.544550561797752,5.20330843005006,4.328202247191012,27.28911259881871,2.6805337078651696,5.125309033871425
10,,2645,0,-682,2731.5103880454126,0.0,-3.1258835341365474,49.903953221272296,8.041686746987953,23.396571977266557,-3.1149999999999998,49.303813428317056,8.10026104417671,22.71557956893769,-5.652188755020082,49.83048708170243,7.527048192771086,31.487808967535212
11,,3880,0,-652,3934.400081333875,0.0,51.525591476855254,59.35494500468417,52.40849375459221,74.10223675535777,51.4838427626745,57.97123520416406,52.38556208670096,72.47423725087089,50.4373989713446,64.90944467546058,54.094746509919176,88.13436350966987
12,,1426,-152,-694,1593.1779561618343,-6.084290535763608,1.8438622754491019,30.11171849581905,2.570449101796409,5.001594246626612,2.1356287425149705,29.548420437532457,2.6128742514970065,4.934267335064843,-1.320119760479042,30.639984531351608,1.676916167664671,5.6355601934120925
13,,1426,-305,-694,1614.9727551881488,-12.072803620731941,-8.632265193370165,31.0327330515955,-0.9267955801104981,8.290287870330287,-8.753646408839778,30.569920698764474,-0.9922651933701658,8.244057529871048,-11.121860036832413,33.570898194183066,-1.806924493554329,9.640493725455244
14,,2051,305,-707,2190.7704124348584,8.458351762390658,-5.603114446529081,37.37736621435473,-1.6588555347091911,18.193384413057085,-5.558611632270169,36.92250033642187,-1.559437148217634,17.711868802972326,-7.858348968105066,38.36434390424003,-2.669868667917446,21.248831310575728
15,,2051,610,-702,2252.0002220248557,16.563314483904225,-1.0672051696284328,60.21184666609844,23.360371567043618,17.60623980731631,-0.8585298869143781,59.525058029202825,23.47710823909532,17.28265765009305,-3.77237479806139,63.84648970390289,22.138142164781904,19.93407247650032
16,,2203,762,-726,2441.5013823465265,19.080091777880117,17.48954041204437,64.12705251768966,6.550015847860539,16.302745235648178,17.984294770206024,63.31279199003915,6.497258320126783,15.973630804320353,15.590871632329636,64.63508405901803,5.217052297939779,20.27141713453386
17,,2645,457,-708,2775.9931556111587,9.80271696672528,39.48030357142857,71.07353082055725,49.34780357142858,23.017094532356072,39.58791071428571,70.20949295114096,49.48603571428571,22.466153924105072,38.14514285714286,74.35110615216846,48.70744642857142,28.41098481122326
18,,2645,0,-682,2731.5103880454126,0.0,26.243468468468464,17.855143507724552,-23.219549549549548,23.29983032213621,26.247725225225228,17.720041244796572,-23.218198198198202,22.96149864832289,26.260630630630633,19.081853179748453,-23.121576576576576,27.34589446994289
19,,3880,0,-652,3934.400081333875,0.0,33.829764873530465,40.26925945364617,77.1781688635554,62.24443197360234,33.813965087281794,39.68728847818245,77.2002600641254,61.84749847129763,33.772828642679016,46.81721633165237,76.82676166726043,66.07816927289967
20,,1426,-152,-694,1593.1779561618343,-6.084290535763608,8.288062015503877,11.062542853419867,2.195193798449621,1.0433956942815399,8.282635658914728,11.034343358957958,2.183953488372098,1.0108035935894784,8.286046511627907,11.03744447297293,2.13639534883721,1.0624345810675309
21,,1426,-305,-694,1614.9727551881488,-12.072803620731941,-17.003781818181817,13.459866494935513,-6.781236363636369,5.411521708233061,-16.995963636363637,13.364159725261969,-6.780836363636366,5.313345430529825,-17.069527272727274,15.265294570429472,-6.835272727272726,7.543462155353876
22,,2051,305,-707,2190.7704124348584,8.458351762390658,6.064425259003453,14.178604329162779,-0.0935767143561882,4.281090613045871,6.06878638381845,14.112944944436252,-0.09387765170201864,4.257480982060706,5.963783917118895,14.147028449478292,-0.22593487913171853,3.522639829478866
23,,2051,610,-702,2252.0002220248557,16.563314483904225,38.34358771060456,22.92504470961933,15.524459861248765,13.188625716728817,38.33999008919723,22.781132659563426,15.525936570862244,12.990267002978136,38.410218037661046,26.27537357005261,15.460416253716556,17.837310348284696
24,,2203,762,-726,2441.5013823465265,19.080091777880117,62.46611940298508,22.33460613091389,-15.96224813432835,8.799225144078914,62.476091417910446,22.128184649861343,-15.963759328358204,8.658395177099706,62.532630597014936,26.761823708258365,-16.11014925373134,11.848449737064895
25,,2645,457,-708,2775.9931556111587,9.80271696672528,64.43597445405851,24.194452601780444,-1.1846435929130636,14.34294205815832,64.43639472599918,24.085270631106713,-1.1855294602389803,14.166916473640033,64.43840543881335,24.875228790652947,-1.188104655953855,17.2970155293408
26,,D_g,D_g,D_g,N/A,N/A,4.077871162556617,65.28233987993077,22.906354638483474,45.25424307291396,4.185539339037073,64.92719146443699,22.907673209193092,44.46083153427569,3.62854554604932,65.77989305297153,22.749251803388688,46.53959047456822
27,,D_r,D_r,D_r,N/A,N/A,17.77493100275989,58.43480325675593,22.498800367985282,45.77974129182815,17.884872125114995,57.64917868465193,22.527974241030353,45.01478634919568,15.743657773689053,61.29010505941256,22.217703771849127,53.09216905744308
28,,S,S,S,N/A,N/A,36.67076170171528,35.79965445850139,19.432018606454115,49.72645400815213,36.66835933714507,35.57353806304698,19.43753561391608,49.57170896592501,36.64843686403721,38.57872144859216,19.289292567109218,51.46351244760396
29,,All,All,All,N/A,N/A,22.994268017499426,53.174253951158235,21.153339166474787,47.586527503317036,23.050199401335487,52.75299376525195,21.16362468339857,47.11968119599311,22.35191158185586,55.13209352882255,20.972034077826386,50.60876077191323
