,Test Number,TX,TX,TX,TX,TX,iSBL-SF Kalman Filter,iSBL-SF Kalman Filter,iSBL-SF Kalman Filter,iSBL-SF Kalman Filter,iSBL Kalman Filter,iSBL Kalman Filter,iSBL Kalman Filter,iSBL Kalman Filter,iSBL Raw Position Estimates,iSBL Raw Position Estimates,iSBL Raw Position Estimates,iSBL Raw Position Estimates
,,X-pos,Y-pos,Z-pos,Distance,Yaw Angle,iSBL-SF KF Y-diff Mean,iSBL-SF KF Y-diff StDev,iSBL-SF KF Z-diff Mean,iSBL-SF KF Z-diff StDev,iSBL KF Y-diff Mean,iSBL KF Y-diff StDev,iSBL KF Z-diff Mean,iSBL KF Z-diff StDev,iSBL Raw Y-diff Mean,iSBL Raw Y-diff StDev,iSBL Raw Z-diff Mean,iSBL Raw Z-diff StDev
0,,1426,0,-694,1585.9104640552694,0.0,7.739707174231333,30.600267306209453,3.2673792093704233,5.077801401193541,7.926998535871156,30.381771648991712,3.282606149341141,5.0259381620321655,5.957481698389459,31.185320693356175,2.821800878477306,5.131312979300381
1,,2645,0,-682,2731.5103880454126,0.0,-3.2625568181818188,46.71459652507511,0.2899999999999975,28.828673657900694,-3.211041666666667,46.35418318611384,0.3242550505050499,28.35114342777416,-4.339539141414143,47.28455673668819,0.020928030303031794,33.487171444425634
2,,3880,0,-652,3934.400081333875,0.0,38.433812349341736,52.77211640367821,62.06768959762656,71.36787162238751,38.43073984795105,51.917939042208786,62.06696829223066,70.31167789428163,38.040485814945306,57.59711564318849,62.351793065084365,77.08441123540602
3,,1426,-152,-694,1593.1779561618343,-6.084290535763608,-2.080791139240506,29.642978379392023,2.2327953586497906,4.197590640590151,-1.9462236286919832,29.375208028360987,2.2491350210970467,4.147939742104765,-3.396012658227849,29.79063097006803,1.828322784810126,4.66861319785315
4,,1426,-305,-694,1614.9727551881488,-12.072803620731941,-10.75835208471211,33.62397908961877,-2.2739774983454684,7.7215077154588645,-10.782097948378558,33.377705354398145,-2.3009530112508285,7.64249725419554,-11.970628722700198,34.871284632598105,-2.710152217074786,9.03896080780875
5,,2051,305,-707,2190.7704124348584,8.458351762390658,-0.6644273339749767,28.592008779131266,0.3721687520051362,10.391480144286653,-0.6433333333333329,28.42152674139889,0.3928039781841542,10.171955064815505,-1.179894128970163,28.981143257400237,0.07179980750722131,11.695971427929853
6,,2051,610,-702,2252.0002220248557,16.563314483904225,15.898216115510012,54.62396698773608,19.34726595249185,15.718256551912424,15.972440614811365,54.27619939425775,19.384899860270146,15.454040144952469,15.027363763390776,56.97858450148343,18.938495575221243,19.094337648821075
7,,2203,762,-726,2441.5013823465265,19.080091777880117,36.11624705327676,58.89302946231179,-6.107322017916075,16.81535392360721,36.371272984441305,58.34009987277181,-6.140952380952378,16.564454847424276,35.61729372937294,59.769381867312035,-6.6934747760490305,19.139743008177902
8,,2645,457,-708,2775.9931556111587,9.80271696672528,47.84899073854192,57.16014681324619,22.203044407504155,33.615972342413826,47.88791023509855,56.86876820206543,22.230130610306336,33.413086528666575,47.542396105438144,57.923558144403735,22.051284730467824,35.475052156641176
9,,Gradual,Gradual,Gradual,N/A,N/A,4.077871162556617,65.28233987993077,22.906354638483474,45.25424307291396,4.185539339037073,64.92719146443699,22.907673209193092,44.46083153427569,3.62854554604932,65.77989305297153,22.749251803388688,46.53959047456822
10,,Rapid,Rapid,Rapid,N/A,N/A,17.77493100275989,58.43480325675593,22.498800367985282,45.77974129182815,17.884872125114995,57.64917868465193,22.527974241030353,45.01478634919568,15.743657773689053,61.29010505941256,22.217703771849127,53.09216905744308
11,,Stationary,Stationary,Stationary,N/A,N/A,36.67076170171528,35.79965445850139,19.432018606454115,49.72645400815213,36.66835933714507,35.57353806304698,19.43753561391608,49.57170896592501,36.64843686403721,38.57872144859216,19.289292567109218,51.46351244760396
12,,All Combined,All Combined,All Combined,N/A,N/A,22.994268017499426,53.174253951158235,21.153339166474787,47.586527503317036,23.050199401335487,52.75299376525195,21.16362468339857,47.11968119599311,22.35191158185586,55.13209352882255,20.972034077826386,50.60876077191323
